"","D.st","R.st","Biden.ic","Trump.ic"
"1",226,673,439,1123
"2",236,716,484,1096
"3",155,435,336,713
"4",387,392,685,617
"5",610,436,1099,710
"6",621,371,1031,585
"7",403,362,693,557
"8",534,489,1080,762
"9",422,549,855,833
"10",412,579,923,925
"11",516,465,953,703
"12",499,563,1001,922
"13",337,452,819,676
"14",339,298,670,491
"15",459,433,960,704
"16",506,345,917,564
"17",427,279,917,500
"18",624,618,1126,1004
"19",427,809,1196,1381
"20",651,409,1266,641
"21",391,522,949,856
"22",253,641,580,1164
"23",306,728,676,1229
"24",271,801,681,1367
"25",334,900,730,1504
"26",228,313,373,506
"27",142,248,318,512
"28",343,677,736,1116
"29",406,634,809,1034
"30",608,634,1068,959
"31",387,666,817,1094
"32",368,733,830,1206
"33",340,496,696,837
"34",301,659,816,1180
"35",357,750,884,1262
"36",435,749,1042,1291
"37",395,607,813,991
"38",536,697,980,1082
"39",253,343,493,609
"40",430,659,930,1051
"41",322,376,545,627
"42",286,515,660,918
"43",155,414,298,705
"44",232,504,423,852
"45",180,523,434,956
"46",353,925,812,1500
"47",264,730,559,1202
"48",192,391,418,669
"49",332,668,795,1149
"50",166,447,432,803
"51",289,695,585,1132
"52",167,479,394,783
"53",219,466,528,736
"54",370,559,707,932
"55",322,483,631,853
"56",337,679,634,1162
"57",421,704,776,1159
"58",371,865,877,1406
"59",295,617,671,1039
"60",298,688,714,1111
"61",280,699,675,1077
"62",376,778,862,1245
"63",409,633,870,1067
"64",479,655,999,1097
"65",297,585,639,986
"66",358,772,827,1292
"67",408,599,695,963
"68",392,752,796,1287
"69",204,325,401,524
"70",333,488,625,834
"71",406,671,841,1101
"72",84,166,177,256
"73",392,702,786,1051
"74",300,566,621,929
"75",359,705,795,1105
"76",515,1105,1124,1664
"77",104,113,207,179
"78",85,176,174,263
"79",369,553,887,975
"80",218,573,596,961
"81",248,493,445,749
"82",291,607,627,971
"83",220,468,485,747
"84",241,448,542,723
"85",352,436,761,712
"86",420,554,904,881
"87",288,345,579,579
"88",33,32,63,54
"89",321,592,721,957
"90",360,641,717,1079
"91",149,436,371,670
"92",223,545,523,839
"93",438,535,911,842
"94",309,729,675,1153
"95",423,874,873,1300
"96",267,505,550,779
"97",298,513,691,929
"98",341,612,721,1017
