"","vote_shares.trumpd","vote_shares.bidenj","votes","eevp","eevp_source","timestamp","votes.Trump","votes.Biden"
"1",0.429,0.571,77,0,"edison","2020-11-04T00:19:27Z",33,44
"2",0.364,0.636,11,0,"edison","2020-11-04T00:42:45Z",4,7
"3",0.188,0.799,64535,1,"edison","2020-11-04T01:03:44Z",12133,51563
"4",0.216,0.772,86353,1,"edison","2020-11-04T01:14:19Z",18652,66665
"5",0.225,0.764,120261,2,"edison","2020-11-04T01:14:26Z",27059,91879
"6",0.16,0.831,195481,3,"edison","2020-11-04T01:15:31Z",31277,162445
"7",0.163,0.828,211317,3,"edison","2020-11-04T01:15:55Z",34445,174970
"8",0.169,0.822,219166,3,"edison","2020-11-04T01:17:19Z",37039,180154
"9",0.169,0.821,219258,3,"edison","2020-11-04T01:24:10Z",37055,180011
"10",0.151,0.841,301969,4,"edison","2020-11-04T01:26:57Z",45597,253956
"11",0.155,0.836,306881,4,"edison","2020-11-04T01:29:03Z",47567,256553
"12",0.407,0.587,436908,6,"edison","2020-11-04T01:31:11Z",177822,256465
"13",0.39,0.604,476287,7,"edison","2020-11-04T01:32:56Z",185752,287677
"14",0.385,0.608,503027,7,"edison","2020-11-04T01:35:04Z",193665,305840
"15",0.361,0.632,557915,8,"edison","2020-11-04T01:36:16Z",201407,352602
"16",0.361,0.632,559431,8,"edison","2020-11-04T01:36:55Z",201955,353560
"17",0.363,0.631,564800,8,"edison","2020-11-04T01:37:50Z",205022,356389
"18",0.337,0.656,678741,9,"edison","2020-11-04T01:38:49Z",228736,445254
"19",0.337,0.655,688010,10,"edison","2020-11-04T01:40:56Z",231859,450647
"20",0.342,0.651,694151,10,"edison","2020-11-04T01:44:56Z",237400,451892
"21",0.342,0.651,694271,10,"edison","2020-11-04T01:46:00Z",237441,451970
"22",0.343,0.65,695628,10,"edison","2020-11-04T01:47:01Z",238600,452158
"23",0.343,0.65,696058,10,"edison","2020-11-04T01:48:56Z",238748,452438
"24",0.343,0.649,701106,10,"edison","2020-11-04T01:49:47Z",240479,455018
"25",0.351,0.641,715357,10,"edison","2020-11-04T01:50:58Z",251090,458544
"26",0.308,0.685,955161,13,"edison","2020-11-04T01:51:36Z",294190,654285
"27",0.31,0.683,959453,13,"edison","2020-11-04T01:52:56Z",297430,655306
"28",0.311,0.681,963987,13,"edison","2020-11-04T01:54:55Z",299800,656475
"29",0.311,0.681,977045,14,"edison","2020-11-04T01:57:01Z",303861,665368
"30",0.313,0.68,980230,14,"edison","2020-11-04T01:58:08Z",306812,666556
"31",0.323,0.669,1020864,14,"edison","2020-11-04T01:59:15Z",329739,682958
"32",0.323,0.669,1020920,14,"edison","2020-11-04T01:59:44Z",329757,682995
"33",0.324,0.668,1025783,14,"edison","2020-11-04T01:59:54Z",332354,685223
"34",0.324,0.668,1025811,14,"edison","2020-11-04T02:00:34Z",332363,685242
"35",0.324,0.668,1031614,14,"edison","2020-11-04T02:01:18Z",334243,689118
"36",0.325,0.667,1033161,14,"edison","2020-11-04T02:02:21Z",335777,689118
"37",0.331,0.661,1052706,15,"edison","2020-11-04T02:03:01Z",348446,695839
"38",0.334,0.659,1057287,15,"edison","2020-11-04T02:04:59Z",353134,696752
"39",0.335,0.658,1059524,15,"edison","2020-11-04T02:05:29Z",354941,697167
"40",0.334,0.658,1069005,15,"edison","2020-11-04T02:05:59Z",357048,703405
"41",0.336,0.656,1073486,15,"edison","2020-11-04T02:07:00Z",360691,704207
"42",0.341,0.651,1083296,15,"edison","2020-11-04T02:08:57Z",369404,705226
"43",0.342,0.65,1087107,15,"edison","2020-11-04T02:10:32Z",371791,706620
"44",0.349,0.643,1106477,15,"edison","2020-11-04T02:11:01Z",386160,711465
"45",0.351,0.641,1111586,16,"edison","2020-11-04T02:13:11Z",390167,712527
"46",0.399,0.592,871782,16,"edison","2020-11-04T02:14:32Z",347841,516095
"47",0.402,0.59,877724,16,"edison","2020-11-04T02:14:56Z",352845,517857
"48",0.406,0.586,888907,16,"edison","2020-11-04T02:16:43Z",360896,520900
"49",0.301,0.689,774021,16,"edison","2020-11-04T02:17:03Z",232980,533300
"50",0.306,0.685,781428,16,"edison","2020-11-04T02:17:32Z",239117,535278
"51",0.299,0.677,1288475,18,"edison","2020-11-04T02:18:59Z",385254,872298
"52",0.299,0.677,1288604,18,"edison","2020-11-04T02:19:33Z",385293,872385
"53",0.312,0.664,1325632,19,"edison","2020-11-04T02:21:59Z",413597,880220
"54",0.363,0.627,739443,19,"edison","2020-11-04T02:22:45Z",268418,463631
"55",0.361,0.629,779178,19,"edison","2020-11-04T02:23:32Z",281283,490103
"56",0.364,0.625,786831,19,"edison","2020-11-04T02:24:00Z",286406,491769
"57",0.366,0.624,789060,19,"edison","2020-11-04T02:24:33Z",288796,492373
"58",0.367,0.622,796833,19,"edison","2020-11-04T02:24:41Z",292438,495630
"59",0.371,0.619,805891,19,"edison","2020-11-04T02:25:14Z",298986,498847
"60",0.38,0.61,826032,19,"edison","2020-11-04T02:27:12Z",313892,503880
"61",0.384,0.605,843633,19,"edison","2020-11-04T02:29:18Z",323955,510398
"62",0.386,0.603,847907,19,"edison","2020-11-04T02:29:31Z",327292,511288
"63",0.386,0.603,848033,19,"edison","2020-11-04T02:30:54Z",327341,511364
"64",0.391,0.599,856034,19,"edison","2020-11-04T02:31:27Z",334709,512764
"65",0.387,0.602,872558,19,"edison","2020-11-04T02:31:58Z",337680,525280
"66",0.391,0.597,888822,19,"edison","2020-11-04T02:32:09Z",347529,530627
"67",0.394,0.594,902116,19,"edison","2020-11-04T02:32:54Z",355434,535857
"68",0.394,0.594,902152,19,"edison","2020-11-04T02:33:27Z",355448,535878
"69",0.413,0.575,949266,19,"edison","2020-11-04T02:34:54Z",392047,545828
"70",0.413,0.575,949342,19,"edison","2020-11-04T02:35:23Z",392078,545872
"71",0.418,0.57,961574,19,"edison","2020-11-04T02:36:06Z",401938,548097
"72",0.425,0.563,982386,19,"edison","2020-11-04T02:37:14Z",417514,553083
"73",0.428,0.56,993848,19,"edison","2020-11-04T02:38:07Z",425367,556555
"74",0.428,0.559,994006,19,"edison","2020-11-04T02:38:19Z",425435,555649
"75",0.432,0.555,1004180,19,"edison","2020-11-04T02:39:32Z",433806,557320
